"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2025","30.65","33.32","34.38","29.24","174.91K","-9.13%"
"11/21/2025","33.73","31.92","34.22","30.70","999.85K","-3.24%"
"11/20/2025","34.86","36.13","38.33","34.51","192.34K","-2.11%"
"11/19/2025","35.61","35.03","36.24","34.40","178.50K","0.23%"
"11/18/2025","35.53","35.00","36.04","33.88","146.96K","-0.48%"
"11/17/2025","35.70","33.94","36.34","33.66","299.88K","7.21%"
"11/14/2025","33.30","31.95","33.90","31.62","205.96K","8.54%"
"11/13/2025","30.68","31.75","31.76","30.12","142.82K","4.35%"
"11/12/2025","29.40","29.55","30.03","28.90","90.54K","-0.98%"
"11/11/2025","29.69","29.95","30.13","28.54","104.89K","7.96%"
"11/10/2025","27.50","26.51","27.90","26.51","90.97K","10.53%"
"11/07/2025","24.88","25.00","25.13","24.00","41.68K","-1.97%"
"11/06/2025","25.38","26.54","26.62","25.04","53.74K","-5.79%"
"11/05/2025","26.94","27.45","27.45","26.45","54.51K","-2.71%"
"11/04/2025","27.69","28.50","29.25","27.28","164.85K","2.90%"
"11/03/2025","26.91","28.25","28.25","26.36","72.19K","-4.74%"
"10/31/2025","28.25","27.45","28.50","27.35","99.21K","12.17%"
"10/30/2025","25.18","24.86","25.68","24.51","53.63K","3.47%"
"10/29/2025","24.34","24.47","24.83","24.22","34.44K","1.08%"
"10/28/2025","24.08","24.50","24.87","23.70","59.23K","-2.31%"
"10/27/2025","24.65","26.38","26.50","24.54","60.25K","-8.26%"
"10/24/2025","26.87","26.14","26.99","25.59","70.26K","4.35%"
"10/23/2025","25.75","26.20","26.51","25.53","51.07K","0.43%"
"10/22/2025","25.64","26.20","26.87","24.56","110.02K","-3.75%"
"10/21/2025","26.64","29.02","29.05","25.85","132.32K","-9.20%"
"10/20/2025","29.34","27.00","29.50","26.42","178.04K","8.99%"
"10/17/2025","26.92","27.57","28.60","26.28","110.23K","-2.53%"
"10/16/2025","27.62","29.83","30.82","27.51","139.82K","-8.06%"
"10/15/2025","30.04","31.99","33.35","29.83","132.94K","-3.38%"
"10/14/2025","31.09","28.20","31.73","27.50","255.53K","10.11%"
"10/13/2025","28.24","27.39","28.61","26.80","124.13K","7.73%"
"10/10/2025","26.21","27.90","27.90","26.04","98.36K","-7.25%"
"10/09/2025","28.26","29.00","29.25","28.00","143.87K","-0.41%"
"10/08/2025","28.38","26.00","28.56","25.71","181.77K","12.89%"
"10/07/2025","25.14","24.15","25.78","24.07","166.63K","5.39%"
"10/06/2025","23.85","24.16","24.17","23.50","53.39K","0.51%"
"10/03/2025","23.73","23.82","24.31","23.31","51.74K","-1.70%"
"10/02/2025","24.14","24.00","24.45","23.36","114.66K","3.58%"
"10/01/2025","23.31","23.71","23.91","22.76","78.00K","-2.94%"
"09/30/2025","24.01","23.48","24.12","22.27","164.30K","2.61%"
"09/29/2025","23.40","24.99","25.00","23.02","185.22K","-2.90%"
"09/26/2025","24.10","23.51","25.28","23.05","210.91K","2.82%"
"09/25/2025","23.44","21.70","23.44","21.00","186.04K","8.52%"
"09/24/2025","21.60","21.41","22.87","21.35","122.05K","1.50%"
"09/23/2025","21.28","21.60","21.89","21.00","149.54K","-2.12%"
"09/22/2025","21.74","22.39","22.50","21.12","152.55K","-0.05%"
"09/19/2025","21.75","20.80","22.24","20.80","206.95K","8.59%"
"09/18/2025","20.03","19.60","20.24","19.25","187.68K","7.98%"
"09/17/2025","18.55","18.22","19.25","18.06","160.30K","6.24%"
"09/16/2025","17.46","16.19","17.96","16.19","146.80K","8.38%"
"09/15/2025","16.11","16.66","16.89","15.55","126.13K","-1.77%"
"09/12/2025","16.40","17.12","17.15","16.25","151.40K","-5.64%"
"09/11/2025","17.38","18.51","18.60","17.34","172.69K","-7.85%"
"09/10/2025","18.86","19.61","19.61","18.40","152.85K","-4.26%"
"09/09/2025","19.70","20.40","20.57","19.06","264.27K","-5.88%"
"09/08/2025","20.93","22.35","22.50","20.76","296.71K","-6.35%"
"09/05/2025","22.35","22.76","22.88","22.12","217.97K","-1.50%"
"09/04/2025","22.69","22.01","22.89","22.01","339.70K","0.49%"
"09/03/2025","22.58","21.52","23.20","21.52","611.30K","-1.05%"
