"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2020","0.5346","0.5346","0.5346","0.5346","","0.00%"
"02/08/2020","0.5346","0.5346","0.5346","0.5346","","0.00%"
"02/07/2020","0.5346","0.5250","0.5800","0.5225","349.01K","-1.51%"
"02/06/2020","0.5428","0.5758","0.5758","0.5335","170.30K","-1.76%"
"02/05/2020","0.5525","0.5941","0.5949","0.5415","722.35K","-4.28%"
"02/04/2020","0.5772","0.5400","0.5800","0.5400","675.45K","6.77%"
"02/03/2020","0.5406","0.5201","0.5600","0.5201","606.52K","10.42%"
"02/02/2020","0.4896","0.4896","0.4896","0.4896","","0.00%"
"02/01/2020","0.4896","0.4896","0.4896","0.4896","","0.00%"
"01/31/2020","0.4896","0.4800","0.5124","0.4726","1.37M","1.94%"
"01/30/2020","0.4803","0.4700","0.4877","0.4600","502.74K","-0.19%"
"01/29/2020","0.4812","0.4900","0.4990","0.4601","706.35K","-2.73%"
"01/28/2020","0.4947","0.5100","0.5248","0.4780","634.66K","-2.43%"
"01/27/2020","0.5070","0.5400","0.5549","0.5000","1.02M","-8.89%"
"01/26/2020","0.5565","0.5565","0.5565","0.5565","","0.00%"
"01/25/2020","0.5565","0.5565","0.5565","0.5565","","0.00%"
"01/24/2020","0.5565","0.5500","0.5570","0.5400","228.55K","1.18%"
"01/23/2020","0.5500","0.5400","0.5596","0.5400","183.16K","0.92%"
"01/22/2020","0.5450","0.5500","0.5627","0.5430","162.01K","-0.27%"
"01/21/2020","0.5465","0.5600","0.5700","0.5400","579.18K","-4.12%"
"01/20/2020","0.5700","0.5700","0.5700","0.5700","","0.00%"
"01/19/2020","0.5700","0.5700","0.5700","0.5700","","0.00%"
"01/18/2020","0.5700","0.5700","0.5700","0.5700","","0.00%"
"01/17/2020","0.5700","0.5506","0.5701","0.5506","173.57K","2.24%"
"01/16/2020","0.5575","0.5700","0.5750","0.5500","289.92K","-1.50%"
"01/15/2020","0.5660","0.5600","0.5700","0.5564","119.88K","1.73%"
"01/14/2020","0.5564","0.5500","0.5676","0.5400","379.64K","-0.64%"
"01/13/2020","0.5600","0.5800","0.5800","0.5500","205.23K","-1.75%"
"01/12/2020","0.5700","0.5700","0.5700","0.5700","","0.00%"
"01/11/2020","0.5700","0.5700","0.5700","0.5700","","0.00%"
"01/10/2020","0.5700","0.5702","0.5702","0.5550","71.86K","3.54%"
"01/09/2020","0.5505","0.5600","0.5690","0.5500","330.75K","-1.71%"
"01/08/2020","0.5601","0.5800","0.5800","0.5550","374.65K","-3.83%"
"01/07/2020","0.5824","0.6000","0.6000","0.5650","184.20K","-0.07%"
"01/06/2020","0.5828","0.5601","0.5900","0.5601","368.44K","2.25%"
"01/05/2020","0.5700","0.5700","0.5700","0.5700","","0.00%"
"01/04/2020","0.5700","0.5700","0.5700","0.5700","","-0.04%"
"01/03/2020","0.5702","0.5660","0.5890","0.5660","231.83K","0.65%"
"01/02/2020","0.5665","0.5900","0.5946","0.5599","321.84K","-3.82%"
"01/01/2020","0.5890","0.5890","0.5890","0.5890","","0.08%"
"12/31/2019","0.5885","0.5831","0.5929","0.5700","224.28K","1.47%"
"12/30/2019","0.5800","0.5610","0.5849","0.5584","465.87K","3.39%"
"12/29/2019","0.5610","0.5610","0.5610","0.5610","","0.00%"
"12/28/2019","0.5610","0.5610","0.5610","0.5610","","0.00%"
"12/27/2019","0.5610","0.5900","0.5918","0.5600","341.77K","-1.63%"
"12/26/2019","0.5703","0.5800","0.5900","0.5700","270.59K","2.33%"
"12/24/2019","0.5573","0.5700","0.5771","0.5500","399.99K","-2.23%"
"12/23/2019","0.5700","0.5600","0.5866","0.5594","663.08K","-0.52%"
"12/22/2019","0.5730","0.5730","0.5730","0.5730","","0.00%"
"12/21/2019","0.5730","0.5730","0.5730","0.5730","","-0.02%"
"12/20/2019","0.5731","0.6000","0.6000","0.5650","305.07K","-3.79%"
"12/19/2019","0.5957","0.5697","0.6064","0.5602","266.81K","2.42%"
"12/18/2019","0.5816","0.5660","0.5899","0.5660","152.84K","3.86%"
"12/17/2019","0.5600","0.5560","0.5700","0.5533","259.26K","0.88%"
"12/16/2019","0.5551","0.5974","0.6017","0.5500","287.96K","-4.29%"
"12/15/2019","0.5800","0.5800","0.5800","0.5800","","0.00%"
"12/14/2019","0.5800","0.5800","0.5800","0.5800","","0.00%"
"12/13/2019","0.5800","0.5910","0.6000","0.5780","271.64K","-2.29%"
"12/12/2019","0.5936","0.6050","0.6050","0.5912","91.31K","-2.19%"
"12/11/2019","0.6069","0.5900","0.6100","0.5864","98.11K","3.74%"
"12/10/2019","0.5850","0.5800","0.6052","0.5723","159.60K","-2.56%"
"12/09/2019","0.6004","0.6100","0.6245","0.5816","355.36K","-2.37%"
"12/08/2019","0.6150","0.6150","0.6150","0.6150","","0.00%"
"12/07/2019","0.6150","0.6150","0.6150","0.6150","","-0.02%"
"12/06/2019","0.6151","0.5950","0.6193","0.5919","405.17K","1.00%"
"12/05/2019","0.6090","0.5450","0.6280","0.5450","1.45M","12.97%"
"12/04/2019","0.5391","0.5400","0.5600","0.5370","281.08K","0.67%"
"12/03/2019","0.5355","0.5555","0.5555","0.5300","295.69K","-2.46%"
"12/02/2019","0.5490","0.5700","0.5849","0.5200","582.51K","-3.68%"
"11/29/2019","0.5700","0.5660","0.5770","0.5575","139.22K","0.88%"
"11/28/2019","0.5650","0.5650","0.5650","0.5650","","-0.02%"
"11/27/2019","0.5651","0.5762","0.5840","0.5651","185.18K","-3.57%"
"11/26/2019","0.5860","0.5800","0.5900","0.5620","272.08K","1.03%"
"11/25/2019","0.5800","0.5909","0.5970","0.5800","281.58K","-1.86%"
"11/24/2019","0.5910","0.5910","0.5910","0.5910","","0.00%"
"11/23/2019","0.5910","0.5910","0.5910","0.5910","","0.02%"
"11/22/2019","0.5909","0.5970","0.6000","0.5857","103.78K","-0.67%"
"11/21/2019","0.5949","0.6000","0.6000","0.5900","79.63K","1.59%"
"11/20/2019","0.5856","0.6000","0.6070","0.5790","150.51K","-2.07%"
"11/19/2019","0.5980","0.6000","0.6070","0.5550","264.36K","1.42%"
"11/18/2019","0.5896","0.5940","0.6026","0.5801","101.31K","-1.07%"
